  s1, 168.63, 169.75, 170.05, 164.37, 156.38, 156.61, 163.30, 169.23, 159.08, 166.01,
  s2, 180.20, 191.58, 204.10, 206.41, 191.93, 172.17, 159.28, 146.94, 152.70, 146.94,
ar_x, 0.4238, 0.3268, 0.2381, 0.2128, 0.2928, 0.4460, 0.55498, 0.647739, 0.5844, 0.6411,
ar_y,-0.0897,-0.0911,-0.0669,-0.0141, 0.0170, 0.0184,-0.00867,-0.010464, 0.0476,-0.0192,
