save1save1save1
179.24,180.35,180.11
179.24,180.35,180.11
179.24,180.35,180.11
179.24,180.35,180.11
179.24,180.35,180.11
179.24,180.35,180.11
179.22,180.35,180.11
179.65,180.39,246.04
179.65,180.39,246.04
179.21,180.36,180.12
179.21,180.36,180.12
179.21,180.36,180.12
save_start
179.19,180.37,180.09
179.19,180.38,180.09
179.19,180.37,180.09
179.19,180.38,180.09
179.18,180.38,180.10
179.18,180.38,180.10
179.18,180.38,180.10
179.18,180.38,180.10
179.18,180.38,180.10
179.18,180.38,180.10
179.17,180.37,180.10
179.17,180.37,180.10
179.17,180.37,180.10
179.17,180.37,180.10
179.17,180.37,180.10
179.17,180.37,180.10
